Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,41380.140625,41380.140625,40829.910156,40913.820313,40913.820313,6700
2020-01-31,41146.558594,41154.488281,40671.011719,40723.488281,40723.488281,11500
2020-02-03,39701.019531,40014.898438,39563.070313,39872.308594,39872.308594,10600
2020-02-04,40178.738281,40818.941406,40117.460938,40789.378906,40789.378906,15300
2020-02-05,40921.710938,41177.000000,40703.320313,41142.660156,41142.660156,13900
2020-02-06,41209.128906,41405.429688,41113.109375,41306.031250,41306.031250,15000
2020-02-07,41394.410156,41394.410156,41073.359375,41141.851563,41141.851563,15300
2020-02-10,41166.718750,41172.058594,40798.980469,40979.621094,40979.621094,15200
2020-02-11,41183.390625,41444.339844,41179.140625,41216.140625,41216.140625,7700
2020-02-12,41330.851563,41671.859375,41330.851563,41565.898438,41565.898438,9600
2020-02-13,41707.210938,41709.300781,41338.308594,41459.789063,41459.789063,9100
2020-02-14,41510.191406,41702.359375,41183.128906,41257.738281,41257.738281,9800
2020-02-17,41324.039063,41420.339844,41030.578125,41055.691406,41055.691406,6900
2020-02-18,41042.460938,41042.460938,40610.949219,40894.378906,40894.378906,12300
2020-02-19,41121.511719,41357.160156,41048.929688,41323.000000,41323.000000,5600
2020-02-20,41334.960938,41399.929688,41134.308594,41170.121094,41170.121094,8400
2020-02-24,41037.011719,41037.011719,40306.359375,40363.230469,40363.230469,8100
2020-02-25,40497.718750,40536.000000,40220.589844,40281.199219,40281.199219,7300
2020-02-26,40194.890625,40255.390625,39760.390625,39888.960938,39888.960938,9000
2020-02-27,39947.800781,39947.800781,39423.269531,39745.660156,39745.660156,9600
2020-02-28,39087.468750,39087.468750,38219.968750,38297.289063,38297.289063,12700
2020-03-02,38910.949219,39083.171875,37785.988281,38144.019531,38144.019531,13400
2020-03-03,38480.890625,38754.238281,38142.300781,38623.699219,38623.699219,10600
2020-03-04,38715.718750,38791.699219,37846.101563,38409.480469,38409.480469,15300
2020-03-05,38604.250000,38887.800781,38386.679688,38470.609375,38470.609375,13500
2020-03-06,37613.960938,37747.070313,37011.089844,37576.621094,37576.621094,19000
2020-03-09,36950.199219,36950.199219,35109.179688,35634.949219,35634.949219,18800
2020-03-11,35468.898438,36021.511719,35261.921875,35697.398438,35697.398438,27900
2020-03-12,34472.500000,34472.500000,32493.099609,32778.140625,32778.140625,25200
2020-03-13,31214.130859,34769.480469,29388.970703,34103.480469,34103.480469,32600
2020-03-16,33103.238281,33103.238281,31276.300781,31390.070313,31390.070313,18100
2020-03-17,31611.570313,32047.980469,30394.939453,30579.089844,30579.089844,21500
2020-03-18,30968.839844,31101.769531,28613.050781,28869.509766,28869.509766,31300
2020-03-19,27773.359375,29370.529297,26714.460938,28288.230469,28288.230469,33200
2020-03-20,28460.820313,30418.199219,27932.669922,29915.960938,29915.960938,32100
2020-03-23,27608.800781,27900.830078,25880.830078,25981.240234,25981.240234,21800
2020-03-24,27056.230469,27462.869141,25638.900391,26674.029297,26674.029297,24700
2020-03-25,26499.810547,28790.189453,26359.910156,28535.779297,28535.779297,141500
2020-03-26,29073.710938,30099.910156,28566.339844,29946.769531,29946.769531,35000
2020-03-27,30747.810547,31126.029297,29346.990234,29815.589844,29815.589844,0
